Timestamp,Temperature ,PrecipitationTotal,WindSpeed ,WindDirection
2020-08-23T19:00:00,80.11073,0,8.00974,3.8140564
2020-08-23T20:00:00,75.592735,0,8.607647,21.801407
2020-08-23T21:00:00,69.52673,0,10.375929,29.19748
2020-08-23T22:00:00,65.87274,0,12.689704,39.035507
2020-08-23T23:00:00,63.82074,0,12.814919,46.684677
2020-08-24T00:00:00,61.840736,0,13.107855,52.431404
2020-08-24T01:00:00,59.93274,0,12.566063,57.994614
2020-08-24T02:00:00,58.204735,0,11.566178,61.07357
2020-08-24T03:00:00,56.512737,0,11.676103,62.85031
2020-08-24T04:00:00,54.856735,0,11.797039,64.59228
2020-08-24T05:00:00,53.30874,0,11.333747,66.44773
2020-08-24T06:00:00,52.102737,0,11.476863,68.19859
2020-08-24T07:00:00,53.632736,0,9.885558,75.96376
2020-08-24T08:00:00,59.608738,0,12.300643,85.03026
2020-08-24T09:00:00,64.59474,0,15.753682,93.87852
2020-08-24T10:00:00,68.608734,0,17.299599,99.75242
2020-08-24T11:00:00,72.40674,0,18.931276,103.84069
2020-08-24T12:00:00,75.79074,0,19.628819,108.18904
2020-08-24T13:00:00,79.01273,0,20.6782,111.93848
2020-08-24T14:00:00,81.730736,0,21.092758,117.85965
2020-08-24T15:00:00,84.106735,0,20.996647,125.70669
2020-08-24T16:00:00,85.94273,0,20.156818,134.46454
2020-08-24T17:00:00,87.328735,0,17.902397,143.47115
2020-08-24T18:00:00,88.06674,0,14.777397,152.04904
2020-08-24T19:00:00,86.716736,0,14.420093,115.14478
2020-08-24T20:00:00,81.62274,0,11.97319,110.854454
2020-08-24T21:00:00,76.09674,0,10.725702,104.381386
2020-08-24T22:00:00,72.10074,0,10.210455,105.12401
2020-08-24T23:00:00,70.42674,0,8.599398,106.1892
2020-08-25T00:00:00,68.716736,0,5.0545845,108.434944
2020-08-25T01:00:00,64.36073,0,1.0656,270
2020-08-25T02:00:00,58.96074,0,6.3322554,284.62088
2020-08-25T03:00:00,55.486736,0,10.961317,295.94232
2020-08-25T04:00:00,55.666737,0,15.771689,307.4506
2020-08-25T05:00:00,53.938736,0,17.346712,312.51044
2020-08-25T06:00:00,52.75074,0,16.398212,313.0251
2020-08-25T07:00:00,53.92074,0,14.336182,311.98724
2020-08-25T08:00:00,57.106735,0,16.021694,312.97864
2020-08-25T09:00:00,60.256737,0,15.841282,317.72632
2020-08-25T10:00:00,63.532738,0,14.395463,321.00903
2020-08-25T11:00:00,66.82674,0,12.636461,325.30484
2020-08-25T12:00:00,69.79674,0,11.157041,326.6894
2020-08-25T13:00:00,72.40674,0,9.686122,328.49573
2020-08-25T14:00:00,74.27873,0,7.90719,327.38077
2020-08-25T15:00:00,75.592735,0,6.8075495,329.42078
2020-08-25T16:00:00,76.330734,0,5.7384315,338.1986
2020-08-25T17:00:00,76.636734,0,4.861344,350.5377
2020-08-25T18:00:00,76.40274,0,3.996,360
2020-08-25T19:00:00,74.72874,0,8.262696,20.772247
2020-08-25T20:00:00,70.44474,0,7.835059,35.311203
2020-08-25T21:00:00,64.75674,0,7.911676,44.999985
2020-08-25T22:00:00,61.714737,0,7.619226,53.53076
2020-08-25T23:00:00,59.734737,0,7.90719,57.380745
2020-08-26T00:00:00,58.29474,0,8.499788,57.80426
2020-08-26T01:00:00,58.672737,0,9.0576,61.927513
2020-08-26T02:00:00,60.292736,0,9.304952,66.37062
2020-08-26T03:00:00,60.076736,0,9.605188,70.55996
2020-08-26T04:00:00,59.410736,0,9.185971,73.141594
2020-08-26T05:00:00,58.978737,0,9.44124,73.61045
2020-08-26T06:00:00,58.510735,0,9.247572,78.36636
2020-08-26T07:00:00,59.014736,0,5.9150395,82.23483
2020-08-26T08:00:00,61.102737,0,5.8668513,87.39744
2020-08-26T09:00:00,63.136734,0,6.1503215,94.96974
2020-08-26T10:00:00,64.07274,0,5.694981,100.784294
2020-08-26T11:00:00,65.90874,0,5.1243067,98.97262
2020-08-26T12:00:00,69.022736,0,4.7952,89.99999
2020-08-26T13:00:00,71.884735,0,4.5366287,86.63353
2020-08-26T14:00:00,74.17074,0,4.5366287,93.366455
2020-08-26T15:00:00,75.75474,0,4.075136,101.30993
2020-08-26T16:00:00,76.61874,0,2.7812977,106.69924
2020-08-26T17:00:00,77.03274,0,1.5984001,89.99999
2020-08-26T18:00:00,75.80874,0,0.753493,44.999985
2020-08-26T19:00:00,75.052734,0,1.332,323.13013
2020-08-26T20:00:00,72.10074,0,3.2518265,55.007973
2020-08-26T21:00:00,68.37474,0,6.1503215,72.34988
2020-08-26T22:00:00,65.494736,0,6.7077804,83.15723
2020-08-26T23:00:00,62.18274,0,6.9468617,94.398705
2020-08-27T00:00:00,59.356735,0,7.0533133,100.88553
2020-08-27T01:00:00,57.574738,0,7.108438,102.99461
2020-08-27T02:00:00,58.42074,0,6.4817924,99.46232
2020-08-27T03:00:00,58.078735,0,6.1272,89.99999
